demuc_id,chude_id,chude_ten, demuc_ten, score
012d9b93-c11d-48b6-b08e-14d77515ca1e,ce9b9ff4-87dd-44d1-add8-27c1ec82d856,"Tổ chức chính trị - xã hội, hội",Thanh niên,80.0
024d0bdb-4439-40e4-90ae-f3525f58351b,b82ee309-2527-4a7d-8d4d-fccdfabbc86c,"Giao thông, vận tải",Giao thông đường thủy nội địa,27.0
02ffb112-0020-4201-a689-eb3c4b60d1a9,487180ab-07c0-45c1-9e73-1ab76b2a55c9,"Văn hóa, thể thao, du lịch",Di sản văn hóa,71.61764705882354
05a9e8b3-09c8-4c0c-a99e-117a864efe3d,965fd0b7-e8b0-434a-83c2-9f9b2b4fbcba,"Trật tự, an toàn xã hội","Phòng, chống ma túy",30.0
06936689-e896-45ee-9486-99b9370f31bc,b64f0e6a-3020-4c4a-be45-a1e5370a0939,Đất đai,Đất đai,66.26829268292683
07929ef0-f5ac-4870-886c-2e8195fa39f4,c054141c-d30c-4e83-9f35-2fb1c61c6e7c,Tài nguyên,Khoáng sản,62.1764705882353
09fb5301-812d-4630-8f9a-9c8cac67a21c,cef09501-9f71-4c9a-aa35-238ea8c79f76,Tố tụng và các phương thức giải quyết tranh chấp,"Thi hành tạm giữ, tạm giam",67.5
0abd54e4-923f-48a3-9f22-b9672dcf4185,607817d9-0840-4986-b41f-5f3e9ae650c2,"Y tế, dược","Hiến, lấy, ghép mô, bộ phận cơ thể người và hiến, lấy xác",85.0
0aeb67ae-9e3e-42c0-830e-33cc254cf384,965fd0b7-e8b0-434a-83c2-9f9b2b4fbcba,"Trật tự, an toàn xã hội",Căn cước công dân,58.0
0b675c1b-8f59-429c-ac5f-cdfed4072cab,607817d9-0840-4986-b41f-5f3e9ae650c2,"Y tế, dược","Cơ chế hoạt động, cơ chế tài chính đối với các đơn vị sự nghiệp y tế công lập và giá dịch vụ khám bệnh, chữa bệnh của các cơ sở khám bệnh, chữa bệnh công lập",22.0
0cf4f78c-b5f8-4618-8803-41a226c2ab84,607817d9-0840-4986-b41f-5f3e9ae650c2,"Y tế, dược",Quản lý trang thiết bị y tế,25.0
0cf69ad9-6f29-4ee4-8e16-2c3aa65c3a52,607817d9-0840-4986-b41f-5f3e9ae650c2,"Y tế, dược",An toàn thực phẩm,56.4
0d5b64ca-267f-4cb9-9400-63448387b0d6,a5b5fa2d-056c-48c4-b6fc-c782359511ff,Hành chính tư pháp,"Cấp bản sao từ sổ gốc, chứng thực bản sao từ bản chính, chứng thực chữ ký",50.5
0e10d80f-a915-4cc9-999c-99eaefed23d0,cef09501-9f71-4c9a-aa35-238ea8c79f76,Tố tụng và các phương thức giải quyết tranh chấp,Tố tụng hình sự,57.66666666666666
11c45594-f8b8-4299-9b1b-ee6c01f943e5,3fc1ee9d-eec6-4839-9c98-7ac2ca9e0792,Tổ chức bộ máy nhà nước,Tổ chức chính quyền địa phương,62.5
