mapc,ten,demuc_id,chuong_id,chude_id,noidung,chimuc,vbqppl,vbqppl_link,stt
0200100000000000100000100000000000000000,Điều 2.1.LQ.1. Phạm vi điều chỉnh,c8ba5bc7-224a-4f31-8d92-567613f68ca9,02001000000000001000,5576c952-dabe-4363-b94a-13419996ff4b,"Luật này quy định chế độ, chính sách bảo hiểm xã hội; quyền và trách nhiệm của người lao động, người sử dụng lao động; cơ quan, tổ chức, cá nhân có liên quan đến bảo hiểm xã hội, tổ chức đại diện tập thể lao động, tổ chức đại diện người sử dụng lao động; cơ quan bảo hiểm xã hội; quỹ bảo hiểm xã hội; thủ tục thực hiện bảo hiểm xã hội và quản lý nhà nước về bảo hiểm xã hội.
",1,"(Điều 1 Luật số 58/2014/QH13 Bảo hiểm xã hội ngày 20/11/2014 của Quốc hội, có hiệu lực thi hành kể từ ngày 01/01/2016)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=46744#Chuong_I_Dieu_1,0
0200100000000000100000200000000000000000,Điều 2.1.LQ.2. Đối tượng áp dụng,c8ba5bc7-224a-4f31-8d92-567613f68ca9,02001000000000001000,5576c952-dabe-4363-b94a-13419996ff4b,"1. Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc, bao gồm:

a) Người làm việc theo hợp đồng lao động không xác định thời hạn, hợp đồng lao động xác định thời hạn, hợp đồng lao động theo mùa vụ hoặc theo một công việc nhất định có thời hạn từ đủ 03 tháng đến dưới 12 tháng, kể cả hợp đồng lao động được ký kết giữa người sử dụng lao động với người đại diện theo pháp luật của người dưới 15 tuổi theo quy định của pháp luật về lao động;

b) Người làm việc theo hợp đồng lao động có thời hạn từ đủ 01 tháng đến dưới 03 tháng;

c) Cán bộ, công chức, viên chức;

d) Công nhân quốc phòng, công nhân công an, người làm công tác khác trong tổ chức cơ yếu;

đ) Sĩ quan, quân nhân chuyên nghiệp quân đội nhân dân; sĩ quan, hạ sĩ quan nghiệp vụ, sĩ quan, hạ sĩ quan chuyên môn kỹ thuật công an nhân dân; người làm công tác cơ yếu hưởng lương như đối với quân nhân;

e) Hạ sĩ quan, chiến sĩ quân đội nhân dân; hạ sĩ quan, chiến sĩ công an nhân dân phục vụ có thời hạn; học viên quân đội, công an, cơ yếu đang theo học được hưởng sinh hoạt phí;

g) Người đi làm việc ở nước ngoài theo hợp đồng quy định tại Luật người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng;

h) Người quản lý doanh nghiệp, người quản lý điều hành hợp tác xã có hưởng tiền lương;

i) Người hoạt động không chuyên trách ở xã, phường, thị trấn.

2. Người lao động là công dân nước ngoài vào làm việc tại Việt Nam có giấy phép lao động hoặc chứng chỉ hành nghề hoặc giấy phép hành nghề do cơ quan có thẩm quyền của Việt Nam cấp được tham gia bảo hiểm xã hội bắt buộc theo quy định của Chính phủ.

3. Người sử dụng lao động tham gia bảo hiểm xã hội bắt buộc bao gồm cơ quan nhà nước, đơn vị sự nghiệp, đơn vị vũ trang nhân dân; tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức chính trị xã hội - nghề nghiệp, tổ chức xã hội - nghề nghiệp, tổ chức xã hội khác; cơ quan, tổ chức nước ngoài, tổ chức quốc tế hoạt động trên lãnh thổ Việt Nam; doanh nghiệp, hợp tác xã, hộ kinh doanh cá thể, tổ hợp tác, tổ chức khác và cá nhân có thuê mướn, sử dụng lao động theo hợp đồng lao động.

4. Người tham gia bảo hiểm xã hội tự nguyện là công dân Việt Nam từ đủ 15 tuổi trở lên và không thuộc đối tượng quy định tại khoản 1 Điều này.

5. Cơ quan, tổ chức, cá nhân có liên quan đến bảo hiểm xã hội.

Các đối tượng quy định tại các khoản 1, 2 và 4 Điều này sau đây gọi chung là người lao động.
",2,"(Điều 2 Luật số 58/2014/QH13, có hiệu lực thi hành kể từ ngày 01/01/2016)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=46744#Chuong_I_Dieu_2,1
0200100000000000100000240256370115000010,Điều 2.1.NĐ.1.1. Phạm vi điều chỉnh,c8ba5bc7-224a-4f31-8d92-567613f68ca9,02001000000000001000,5576c952-dabe-4363-b94a-13419996ff4b,"Nghị định này quy định chi tiết một số điều của Luật Bảo hiểm xã hội về bảo hiểm xã hội bắt buộc đối với cán bộ, công chức, viên chức và người lao động Việt Nam làm việc theo hợp đồng lao động.
",1,"(Điều 1 Nghị định số 115/2015/NĐ-CP Quy định chi tiết một số điều của Luật Bảo hiểm xã hội về bảo hiểm xã hội bắt buộc ngày 11/11/2015 của Chính phủ, có hiệu lực thi hành kể từ ngày 01/01/2016)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=94953#Chuong_I_Dieu_1,2
0200100000000000100000240256370115000020,Điều 2.1.NĐ.1.2. Đối tượng áp dụng,c8ba5bc7-224a-4f31-8d92-567613f68ca9,02001000000000001000,5576c952-dabe-4363-b94a-13419996ff4b,"1. Người lao động là công dân Việt Nam tham gia bảo hiểm xã hội bắt buộc theo quy định tại Nghị định này, bao gồm:

a) Người làm việc theo hợp đồng lao động không xác định thời hạn, hợp đồng lao động xác định thời hạn, hợp đồng lao động theo mùa vụ hoặc theo một công việc nhất định có thời hạn từ đủ 03 tháng đến dưới 12 tháng, kể cả hợp đồng lao động được ký kết giữa người sử dụng lao động với người đại diện theo pháp luật của người dưới 15 tuổi theo quy định của pháp luật về lao động;

b) Người làm việc theo hợp đồng lao động có thời hạn từ đủ 01 tháng đến dưới 03 tháng;

c) Cán bộ, công chức, viên chức theo quy định của pháp luật về cán bộ, công chức và viên chức;

d) Công nhân quốc phòng, công nhân công an, người làm công tác khác trong tổ chức cơ yếu;

đ) Người quản lý doanh nghiệp, người quản lý điều hành hợp tác xã có hưởng tiền lương;

e) Người hoạt động không chuyên trách ở xã, phường, thị trấn;

g) Người hưởng chế độ phu nhân hoặc phu quân tại cơ quan đại diện Việt Nam ở nước ngoài quy định tại Khoản 4 Điều 123 của Luật Bảo hiểm xã hội.

2. Người đi làm việc ở nước ngoài theo hợp đồng quy định tại Luật Người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng tham gia bảo hiểm xã hội bắt buộc theo quy định tại Nghị định này được áp dụng đối với các hợp đồng sau:

a) Hợp đồng đưa người lao động đi làm việc ở nước ngoài với doanh nghiệp hoạt động dịch vụ đưa người lao động đi làm việc ở nước ngoài, tổ chức sự nghiệp được phép đưa người lao động đi làm việc ở nước ngoài;

b) Hợp đồng đưa người lao động đi làm việc ở nước ngoài với doanh nghiệp trúng thầu, nhận thầu hoặc tổ chức, cá nhân đầu tư ra nước ngoài có đưa người lao động đi làm việc ở nước ngoài;

c) Hợp đồng đưa người lao động đi làm việc ở nước ngoài theo hình thức thực tập nâng cao tay nghề với doanh nghiệp đưa người lao động đi làm việc theo hình thức thực tập nâng cao tay nghề;

d) Hợp đồng cá nhân.

Các đối tượng quy định tại Khoản 1 và Khoản 2 Điều này sau đây gọi chung là người lao động.

3. Người lao động quy định tại Nghị định này thực hiện đầy đủ các chế độ bảo hiểm xã hội bắt buộc. Riêng người lao động quy định tại các Điểm e và g Khoản 1 và các Điểm a, c và d Khoản 2 Điều này chỉ thực hiện chế độ hưu trí và tử tuất.

4. Người lao động quy định tại các Điểm a và b Khoản 1 Điều này là người giúp việc gia đình và người lao động quy định tại Khoản 1 Điều này mà đang hưởng lương hưu, trợ cấp bảo hiểm xã hội hằng tháng và trợ cấp hằng tháng dưới đây thì không thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc:

a) Người đang hưởng lương hưu hằng tháng;

b) Người đang hưởng trợ cấp hằng tháng theo quy định tại Nghị định số 09/1998/NĐ-CP ngày 23 tháng 01 năm 1998 của Chính phủ sửa đổi, bổ sung Nghị định số 50/CP ngày 26 tháng 7 năm 1995 của Chính phủ về chế độ sinh hoạt phí đối với cán bộ xã, phường, thị trấn;

c) Người đang hưởng trợ cấp mất sức lao động hằng tháng;

d) Người đang hưởng trợ cấp hằng tháng theo quy định tại Quyết định số 91/2000/QĐ-TTg ngày 04 tháng 8 năm 2000 của Thủ tướng Chính phủ về việc trợ cấp cho những người đã hết tuổi lao động tại thời điểm ngừng hưởng trợ cấp mất sức lao động hàng tháng (sau đây gọi là Quyết định số 91/2000/QĐ-TTg); Quyết định số 613/QĐ-TTg ngày 06 tháng 5 năm 2010 của Thủ tướng Chính phủ về việc trợ cấp hàng tháng cho những người có từ đủ 15 năm đến dưới 20 năm công tác thực tế đã hết thời hạn hưởng trợ cấp mất sức lao động (sau đây gọi là Quyết định số 613/QĐ-TTg);

đ) Quân nhân, Công an nhân dân, người làm công tác cơ yếu đang hưởng chế độ trợ cấp hằng tháng theo quy định tại Quyết định số 142/2008/QĐ-TTg ngày 27 tháng 10 năm 2008 của Thủ tướng Chính phủ về thực hiện chế độ đối với quân nhân tham gia kháng chiến chống Mỹ cứu nước có dưới 20 năm công tác trong quân đội đã phục viên, xuất ngũ về địa phương; Quyết định số 38/2010/QĐ-TTg ngày 06 tháng 5 năm 2010 của Thủ tướng Chính phủ về việc sửa đổi, bổ sung Quyết định số 142/2008/QĐ-TTg ngày 27 tháng 10 năm 2008 của Thủ tướng Chính phủ về việc thực hiện chế độ đối với quân nhân tham gia kháng chiến chống Mỹ cứu nước có dưới 20 năm công tác trong quân đội đã phục viên, xuất ngũ về địa phương; Quyết định số 53/2010/QĐ-TTg ngày 20 tháng 8 năm 2010 của Thủ tướng Chính phủ quy định về chế độ đối với cán bộ, chiến sĩ Công an nhân dân tham gia kháng chiến chống Mỹ có dưới 20 năm công tác trong Công an nhân dân đã thôi việc, xuất ngũ về địa phương; Quyết định số 62/2011/QĐ-TTg ngày 09 tháng 11 năm 2011 của Thủ tướng Chính phủ về chế độ, chính sách đối với đối tượng tham gia chiến tranh bảo vệ Tổ quốc, làm nhiệm vụ quốc tế ở Căm-pu-chi-a, giúp bạn Lào sau ngày 30 tháng 4 năm 1975 đã phục viên, xuất ngũ, thôi việc.

5. Người sử dụng lao động quy định tại Khoản 3 Điều 2 của Luật Bảo hiểm xã hội.

6. Cơ quan, tổ chức, cá nhân có liên quan đến bảo hiểm xã hội bắt buộc.
",2,"(Điều 2 Nghị định số 115/2015/NĐ-CP, có hiệu lực thi hành kể từ ngày 01/01/2016)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=94953#Chuong_I_Dieu_2,3
0200100000000000100000240256850134000010,Điều 2.1.NĐ.2.1. Phạm vi điều chỉnh,c8ba5bc7-224a-4f31-8d92-567613f68ca9,02001000000000001000,5576c952-dabe-4363-b94a-13419996ff4b,"Nghị định này quy định chi tiết một số điều của Luật Bảo hiểm xã hội về bảo hiểm xã hội tự nguyện.
",1,"(Điều 1 Nghị định số 134/2015/NĐ-CP Quy định chi tiết một số điều của luật bảo hiểm xã hội về bảo hiểm xã hội tự nguyện ngày 29/12/2015 của Chính phủ, có hiệu lực thi hành kể từ ngày 15/02/2016)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=95650#Chuong_I_Dieu_1,4
0200100000000000100000240256850134000020,Điều 2.1.NĐ.2.2. Đối tượng áp dụng,c8ba5bc7-224a-4f31-8d92-567613f68ca9,02001000000000001000,5576c952-dabe-4363-b94a-13419996ff4b,"1. Người tham gia bảo hiểm xã hội tự nguyện là công dân Việt Nam từ đủ 15 tuổi trở lên và không thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc theo quy định tại Khoản 4 Điều 2 của Luật Bảo hiểm xã hội.

2. Cơ quan, tổ chức và cá nhân có liên quan đến bảo hiểm xã hội tự nguyện.
",2,"(Điều 2 Nghị định số 134/2015/NĐ-CP, có hiệu lực thi hành kể từ ngày 15/02/2016)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=95650#Chuong_I_Dieu_2,5
0200100000000000100000240258060030000010,Điều 2.1.NĐ.3.1. Phạm vi điều chỉnh,c8ba5bc7-224a-4f31-8d92-567613f68ca9,02001000000000001000,5576c952-dabe-4363-b94a-13419996ff4b,"Nghị định này quy định chi tiết hoạt động đầu tư từ quỹ bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp do Bảo hiểm xã hội Việt Nam quản lý.
",1,"(Điều 1 Nghị định số 30/2016/NĐ-CP quy định chi tiết hoạt động đầu tư từ quỹ bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp ngày 28/04/2016 của Chính phủ, có hiệu lực thi hành kể từ ngày 16/06/2016)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=104349#Chuong_I_Dieu_1,6
0200100000000000100000240258060030000020,Điều 2.1.NĐ.3.2. Đối tượng áp dụng,c8ba5bc7-224a-4f31-8d92-567613f68ca9,02001000000000001000,5576c952-dabe-4363-b94a-13419996ff4b,"Nghị định này được áp dụng đối với Bảo hiểm xã hội Việt Nam, cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư từ quỹ bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp.
",2,"(Điều 2 Nghị định số 30/2016/NĐ-CP, có hiệu lực thi hành kể từ ngày 16/06/2016)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=104349#Chuong_I_Dieu_2,7
0200100000000000100000240258180033000010,Điều 2.1.NĐ.4.1. Phạm vi điều chỉnh,c8ba5bc7-224a-4f31-8d92-567613f68ca9,02001000000000001000,5576c952-dabe-4363-b94a-13419996ff4b,"Nghị định này quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm xã hội về bảo hiểm xã hội bắt buộc đối với quân nhân, công an nhân dân và người làm công tác cơ yếu hưởng lương như đối với quân nhân.
",1,"(Điều 1 Nghị định số 33/2016/NĐ-CP Quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm xã hội về bảo hiểm xã hội bắt buộc đối với quân nhân, công an nhân dân và người làm công tác cơ yếu hưởng lương như đối với quân nhân ngày 10/05/2016 của Chính phủ, có hiệu lực thi hành kể từ ngày 26/06/2016)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=103067#Chuong_I_Dieu_1,8
0200100000000000100000240258180033000020,Điều 2.1.NĐ.4.2. Đối tượng áp dụng,c8ba5bc7-224a-4f31-8d92-567613f68ca9,02001000000000001000,5576c952-dabe-4363-b94a-13419996ff4b,"1. Người lao động thuộc diện hưởng lương tham gia bảo hiểm xã hội bắt buộc quy định tại Điểm đ Khoản 1 Điều 2 Luật Bảo hiểm xã hội, bao gồm:

a) Sĩ quan, quân nhân chuyên nghiệp Quân đội nhân dân;

b) Sĩ quan, hạ sĩ quan nghiệp vụ và sĩ quan, hạ sĩ quan chuyên môn kỹ thuật công an nhân dân;

c) Người làm công tác cơ yếu hưởng lương như đối với quân nhân (sau đây được viết tắt là người làm công tác cơ yếu).

2. Người lao động thuộc diện hưởng phụ cấp quân hàm hoặc sinh hoạt phí tham gia bảo hiểm xã hội bắt buộc quy định tại Điểm e Khoản 1 Điều 2 Luật Bảo hiểm xã hội, bao gồm:

a) Hạ sĩ quan, binh sĩ Quân đội nhân dân;

b) Hạ sĩ quan, chiến sĩ nghĩa vụ công an nhân dân; học viên công an nhân dân đang theo học được hưởng sinh hoạt phí;

c) Học viên cơ yếu đang theo học được hưởng sinh hoạt phí.

3. Người hưởng chế độ phu nhân hoặc phu quân tại cơ quan đại diện Việt Nam ở nước ngoài quy định tại Khoản 4 Điều 123 Luật Bảo hiểm xã hội.

4. Người lao động quy định tại Khoản 1 và Khoản 2 Điều này trong thời gian đi học tập, thực tập, công tác, nghiên cứu, đi điều dưỡng ngoài nước mà vẫn hưởng tiền lương hoặc phụ cấp quân hàm hoặc sinh hoạt phí ở trong nước và đóng bảo hiểm xã hội theo quy định thì được hưởng các chế độ bảo hiểm xã hội quy định tại Nghị định này.

5. Người sử dụng lao động tham gia bảo hiểm xã hội bắt buộc quy định tại Khoản 3 Điều 2 Luật Bảo hiểm xã hội, bao gồm:

a) Các cơ quan, đơn vị thuộc Bộ Quốc phòng, Bộ Công an;

b) Cơ quan, tổ chức có sử dụng người làm công tác cơ yếu;

c) Doanh nghiệp, đơn vị sự nghiệp công lập thuộc Bộ Quốc phòng, Bộ Công an.
",2,"(Điều 2 Nghị định số 33/2016/NĐ-CP, có hiệu lực thi hành kể từ ngày 26/06/2016)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=103067#Chuong_I_Dieu_2,9
