mapc,ten,demuc_id,chuong_id,chude_id,noidung,chimuc,vbqppl,vbqppl_link,stt
3200100000000000100000100000000000000000,Điều 32.1.LQ.1. Phạm vi Điều chỉnh,78cd97a5-7ff4-48b4-affc-42cd96aeec18,32001000000000001000,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"Luật này quy định về quyền tự do báo chí, quyền tự do ngôn luận trên báo chí của công dân; tổ chức và hoạt động báo chí; quyền và nghĩa vụ của cơ quan, tổ chức, cá nhân tham gia và có liên quan đến hoạt động báo chí; quản lý nhà nước về báo chí.
",1,"(Điều 1 Luật số 103/2016/QH13 Báo chí ngày 05/04/2016 của Quốc hội, có hiệu lực thi hành kể từ ngày 01/01/2017 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=101872#Chuong_I_Dieu_1,0
3200100000000000100000200000000000000000,Điều 32.1.LQ.2. Đối tượng áp dụng,78cd97a5-7ff4-48b4-affc-42cd96aeec18,32001000000000001000,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"Luật này áp dụng đối với cơ quan, tổ chức, cá nhân tham gia và có liên quan đến hoạt động báo chí tại nước Cộng hòa xã hội chủ nghĩa Việt Nam.
",2,"(Điều 2 Luật số 103/2016/QH13, có hiệu lực thi hành kể từ ngày 01/01/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=101872#Chuong_I_Dieu_2,1
3200100000000000100000240245230088000010,Điều 32.1.NĐ.1.1. Phạm vi điều chỉnh và đối tượng áp dụng,78cd97a5-7ff4-48b4-affc-42cd96aeec18,32001000000000001000,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"Nghị định này quy định về hoạt động thông tin, báo chí của báo chí nước ngoài, cơ quan đại diện nước ngoài, tổ chức nước ngoài tại Việt Nam và trách nhiệm của Bộ Ngoại giao, Bộ Thông tin và Truyền thông, Bộ Văn hóa, Thể thao và Du lịch, Ủy ban nhân dân các tỉnh, thành phố trực thuộc Trung ương trong quản lý nhà nước đối với hoạt động thông tin, báo chí của báo chí nước ngoài, cơ quan đại diện nước ngoài, tổ chức nước ngoài tại Việt Nam.
",1,"(Điều 1 Nghị định số 88/2012/NĐ-CP Quy định về hoạt động thông tin, báo chí của báo chí nước ngoài, cơ quan đại diện nước ngoài, tổ chức nước ngoài tại Việt Nam ngày 23/10/2012 của Chính phủ, có hiệu lực thi hành kể từ ngày 20/12/2012 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=27860#Chuong_I_Dieu_1,2
3200100000000000100000240250300018000010,Điều 32.1.NĐ.2.1. Phạm vi điều chỉnh,78cd97a5-7ff4-48b4-affc-42cd96aeec18,32001000000000001000,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"Nghị định này quy định về chế độ nhuận bút cho tác giả, chủ sở hữu quyền tác giả đối với. tác phẩm báo chí (gồm báo in, báo nói, báo hình, báo điện tử), xuất bản phẩm theo quy định tại Khoản 4 Điều 4 Luật xuất bản; thù lao cho người tham gia thực hiện các công việc liên quan đến tác phẩm báo chí, xuất bản phẩm, người sưu tầm tài liệu, cung cấp thông tin phục vụ cho việc sáng tạo tác phẩm báo chí, xuất bản phẩm.
",1,"(Điều 1 Nghị định số 18/2014/NĐ-CP Quy định về chế độ nhuận bút trong lĩnh vực báo chí, xuất bản ngày 14/03/2014 của Chính phủ, có hiệu lực thi hành kể từ ngày 01/06/2014 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=33649#Chuong_I_Dieu_1,3
3200100000000000100000240250300018000020,Điều 32.1.NĐ.2.2. Đối tượng áp dụng,78cd97a5-7ff4-48b4-affc-42cd96aeec18,32001000000000001000,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"Nghị định này áp dụng đối với tác giả, chủ sở hữu quyền tác giả, nhà báo, phóng viên, biên tập viên, cơ quan báo chí, nhà xuất bản và các cơ quan nhà nước, tổ chức, cá nhân liên quan đến tác phẩm báo chí, xuất bản phẩm.
",2,"(Điều 2 Nghị định số 18/2014/NĐ-CP, có hiệu lực thi hành kể từ ngày 01/06/2014)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=33649#Chuong_I_Dieu_2,4
3200100000000000100000240255720072000010,Điều 32.1.NĐ.3.1. Phạm vi điều chỉnh,78cd97a5-7ff4-48b4-affc-42cd96aeec18,32001000000000001000,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"Nghị định này quy định về quản lý hoạt động thông tin đối ngoại; trách nhiệm của các Bộ, cơ quan ngang Bộ, cơ quan thuộc Chính phủ, Ủy ban nhân dân tỉnh, thành phố trực thuộc Trung ương (sau đây gọi là Ủy ban nhân dân cấp tỉnh) trong việc quản lý và triển khai hoạt động thông tin đối ngoại.
",1,"(Điều 1 Nghị định số 72/2015/NĐ-CP Về quản lý hoạt động thông tin đối ngoại ngày 07/09/2015 của Chính phủ, có hiệu lực thi hành kể từ ngày 22/10/2015 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=79915#Chuong_I_Dieu_1,5
3200100000000000100000240255720072000020,Điều 32.1.NĐ.3.2. Đối tượng áp dụng,78cd97a5-7ff4-48b4-affc-42cd96aeec18,32001000000000001000,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"Nghị định này áp dụng đối với các Bộ, cơ quan ngang Bộ, cơ quan thuộc Chính phủ, Ủy ban nhân dân cấp tỉnh; các cơ quan, tổ chức tham gia hoạt động thông tin đối ngoại.
",2,"(Điều 2 Nghị định số 72/2015/NĐ-CP, có hiệu lực thi hành kể từ ngày 22/10/2015)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=79915#Chuong_I_Dieu_2,6
3200100000000000100000240257050006000010,Điều 32.1.NĐ.4.1. Phạm vi điều chỉnh,78cd97a5-7ff4-48b4-affc-42cd96aeec18,32001000000000001000,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"Nghị định này quy định chi tiết việc quản lý nội dung thông tin, chất lượng, giá, cung cấp và sử dụng dịch vụ phát thanh, truyền hình tại Việt Nam; thu xem kênh chương trình truyền hình nước ngoài trực tiếp từ vệ tinh tại Việt Nam.
",1,"(Điều 1 Nghị định số 06/2016/NĐ-CP Quản lý, cung cấp và sử dụng dịch vụ phát thanh, truyền hình ngày 18/01/2016 của Chính phủ, có hiệu lực thi hành kể từ ngày 15/03/2016 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=96251#Chuong_I_Dieu_1,7
3200100000000000100000240257050006000020,Điều 32.1.NĐ.4.2. Đối tượng áp dụng,78cd97a5-7ff4-48b4-affc-42cd96aeec18,32001000000000001000,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"Nghị định này áp dụng đối với tổ chức, cá nhân trong nước và nước ngoài có liên quan đến hoạt động quản lý nội dung thông tin, chất lượng, giá, cung cấp và sử dụng dịch vụ phát thanh, truyền hình tại Việt Nam; hoạt động thu xem kênh chương trình truyền hình nước ngoài trực tiếp từ vệ tinh tại Việt Nam.
",2,"(Điều 2 Nghị định số 06/2016/NĐ-CP, có hiệu lực thi hành kể từ ngày 15/03/2016)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=96251#Chuong_I_Dieu_2,8
3200100000000000100000240260920008000010,Điều 32.1.NĐ.5.1. Phạm vi điều chỉnh và đối tượng áp dụng,78cd97a5-7ff4-48b4-affc-42cd96aeec18,32001000000000001000,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"1. Nghị định này quy định về hoạt động lưu chiểu điện tử đối với loại hình báo nói, báo hình, báo điện tử của cơ quan quản lý nhà nước về báo chí ở trung ương.

2. Nghị định này áp dụng đối với cơ quan quản lý nhà nước về báo chí ở trung ương, các cơ quan báo nói, báo hình, báo điện tử và các tổ chức, cá nhân có liên quan đến hoạt động lưu chiểu điện tử.
",1,"(Điều 1 Nghị định số 08/2017/NĐ-CP Quy định về lưu chiểu điện tử đối với loại hình báo nói, báo hình và báo điện tử độc lập với cơ quan báo chí ngày 08/02/2017 của Chính phủ, có hiệu lực thi hành kể từ ngày 30/03/2017 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=118266#Chuong_I_Dieu_1,9
