mapc,ten,demuc_id,chuong_id,chude_id,noidung,chimuc,vbqppl,vbqppl_link,stt
2500100000000000100000100000000000000000,Điều 25.1.PL.1.,b444d15f-0b38-474b-bf13-5188e9a517bb,25001000000000001000,859b54fa-0c05-4807-a50c-c8be82fcae62,"Công trình quốc phòng và khu quân sự là tài sản của Nhà nước, được giao cho lực lượng vũ trang nhân dân và chính quyền các cấp tổ chức việc xây dựng, quản lý, sử dụng, bảo vệ để phục vụ sự nghiệp bảo vệ và xây dựng Tổ quốc Việt Nam xã hội chủ nghĩa.
",1,"((Điều 1 Pháp lệnh Bảo vệ công trình quốc phòng và khu quân sự ngày 19/05/1994 của Uỷ ban Thường vụ Quốc hội, có hiệu lực thi hành kể từ ngày 03/06/1994))",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=10430#Chuong_I_Dieu_1,0
2500100000000000100000140223730148000010,Điều 25.1.NĐ.2.1. Phạm vi điều chỉnh,b444d15f-0b38-474b-bf13-5188e9a517bb,25001000000000001000,859b54fa-0c05-4807-a50c-c8be82fcae62,"Nghị định này quy định về Vành đai an toàn và việc quy hoạch, xây dựng, quản lý, bảo vệ Vành đai an toàn các kho đạn dược, vật liệu nổ, nhà máy sản xuất đạn dược, vật liệu nổ (sau đây gọi tắt là Vành đai an toàn kho).
",1,"(Điều 1 Nghị định số 148/2006/NĐ-CP Về quy hoạch, xây dựng, quản lý và bảo vệ Vành đai an toàn các kho đạn dược, vật liệu nổ, nhà máy sản xuất đạn dược, vật liệu nổ do Bộ Quốc phòng quản lý ngày 04/12/2006 của Chính phủ, có hiệu lực thi hành kể từ ngày 31/12/2006)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14947#Chuong_I_Dieu_1,1
2500100000000000100000140223730148000020,Điều 25.1.NĐ.2.2. Đối tượng điều chỉnh,b444d15f-0b38-474b-bf13-5188e9a517bb,25001000000000001000,859b54fa-0c05-4807-a50c-c8be82fcae62,"Mọi cơ quan, tổ chức, cá nhân hoạt động, sinh sống trên lãnh thổ Việt Nam đều chịu sự điều chỉnh và chấp hành các quy định của Nghị định này.
",2,"(Điều 2 Nghị định số 148/2006/NĐ-CP, có hiệu lực thi hành kể từ ngày 31/12/2006)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14947#Chuong_I_Dieu_2,2
2500100000000000100000140223730148000040,Điều 25.1.NĐ.2.4. Giải thích từ ngữ,b444d15f-0b38-474b-bf13-5188e9a517bb,25001000000000001000,859b54fa-0c05-4807-a50c-c8be82fcae62,"Trong Nghị định này, các từ ngữ dưới đây được hiểu như sau:

1. Kho đạn dược, vật liệu nổ, nhà máy sản xuất đạn dược, vật liệu nổ (sau đây gọi tắt là kho đạn dược) là nơi sản xuất và dự trữ đạn dược, vật liệu nổ của Quân đội nhân dân Việt Nam, là công trình quốc phòng và khu quân sự loại 2.

2. Vành đai an toàn kho là phạm vi vùng bao quanh các nhà kho thuộc kho đạn dược, gồm trên mặt đất và trong lòng đất, nằm giữa giới hạn trong và giới hạn ngoài với khoảng cách bằng bán kính an toàn.

3. Giới hạn trong của Vành đai an toàn kho là tường rào hoặc hàng rào khép kín khu vực các nhà kho thuộc kho đạn dược.

4. Giới hạn ngoài của Vành đai an toàn kho là một đường khép kín tập hợp bởi các điểm ngoài cùng của bán kính an toàn.

5. Bán kính an toàn là khoảng cách nhỏ nhất tính từ giới hạn trong của Vành đai an toàn kho trở ra xung quanh, bảo đảm an toàn cho người và các công trình kinh tế dân sinh trên mặt đất hoặc trong lòng đất nếu kho đạn dược xảy ra sự cố cháy, nổ.
",4,"(Điều 4 Nghị định số 148/2006/NĐ-CP, có hiệu lực thi hành kể từ ngày 31/12/2006)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14947#Chuong_I_Dieu_4,3
2500100000000000100000251480000000000000,Điều 25.1.PL.2.,b444d15f-0b38-474b-bf13-5188e9a517bb,25001000000000001000,859b54fa-0c05-4807-a50c-c8be82fcae62,"Công trình quốc phòng là các công trình được xây dựng, các địa hình và địa vật tự nhiên được cải tạo và xác định nhằm phục vụ mục đích phòng thủ, bảo vệ Tổ quốc.

Khu quân sự là khu vực có giới hạn được xác định chuyên dùng cho mục đích quân sự.
",2,"((Điều 2 Pháp lệnh số Bảo vệ công trình quốc phòng và khu quân sự, có hiệu lực thi hành kể từ ngày 03/06/1994))",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=10430#Chuong_I_Dieu_2,4
2500100000000000100000280227930008000010,Điều 25.1.TL.1.1. Phạm vi điều chỉnh và đối tượng áp dụng,b444d15f-0b38-474b-bf13-5188e9a517bb,25001000000000001000,859b54fa-0c05-4807-a50c-c8be82fcae62,"1. Phạm vi điều chỉnh

Thông tư này hướng dẫn việc xác định giới hạn, cắm mốc giới, quản lý, sử dụng đất thuộc Vành đai an toàn các kho đạn dược, vật liệu nổ; nhà máy sản xuất đạn dược, vật liệu nổ (sau đây gọi chung là kho đạn dược) do Bộ Quốc phòng quản lý đã có quy hoạch được cấp có thẩm quyền phê duyệt.

2. Đối tượng áp dụng

a) Ủy ban nhân dân các cấp, cơ quan Tài nguyên và Môi trường, cán bộ địa chính xã, phường, thị trấn;

b) Các cơ quan, đơn vị thuộc Bộ Quốc phòng;

c) Các tổ chức, cá nhân hoạt động, sinh sống có liên quan đến phạm vi Vành đai an toàn kho đạn dược.
",1,"(Điều 1 Thông tư liên tịch số 08/2008/TTLT-BQP-BTNMT hướng dẫn thực hiện một số điều của Nghị định số 148/2006/NĐ-CP ngày 04 tháng 12 năm 2006 của Chính phủ về quy hoạch, xây dựng, quản lý và bảo vệ Vành đai an toàn các kho đạn dược, vật liệu nổ; nhà máy sản xuất đạn dược, vật liệu nổ do Bộ Quốc phòng quản lý ngày 28/01/2008 của Bộ Quốc phòng và Bộ Tài nguyên và Môi trường, có hiệu lực thi hành kể từ ngày 17/05/2008)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=126377#Dieu_1,5
2500100000000000100000280228310025000010,Điều 25.1.TT.1.1. Quy định chung,b444d15f-0b38-474b-bf13-5188e9a517bb,25001000000000001000,859b54fa-0c05-4807-a50c-c8be82fcae62,"1. Phạm vi điều chỉnh:

Các kho đạn dược, vật liệu nổ, nhà máy sản xuất đạn dược, vật liệu nổ (gọi tắt là kho đạn dược) thực hiện theo quy định tại Điều 1 Nghị định số 148/2006/NĐ-CP bao gồm: Kho đạn dược lục quân, kho tên lửa phòng không và phương tiện sát thương hàng không, kho đạn dược hải quân được phân ra các cấp:

a) Các kho đạn dược cấp Bộ Quốc phòng;

b) Các kho đạn dược cấp quân khu, quân đoàn, quân chủng, binh chủng;

c) Các kho đạn dược cấp sư đoàn, Vùng Hải quân, tỉnh, thành phố trực thuộc Trung ương;

d) Các kho nguyên liệu, sản phẩm và dây chuyền sản xuất vật liệu nổ, sản xuất, sửa chữa đạn dược của các nhà máy quốc phòng.

đ) Các kho cấp lữ đoàn, trung đoàn, căn cứ sân bay huyện, thị và tương đương.

2. Đối tượng áp dụng:

Thông tư này áp dụng đối với mọi cơ quan, tổ chức, cá nhân hoạt động, sinh sống trên lãnh thổ Việt Nam.

3. Nguyên tắc quy hoạch, xây dựng, quản lý, bảo vệ vành đai an toàn kho

Nguyên tắc quy hoạch, xây dựng, quản lý, bảo vệ vành đai an toàn kho thực hiện theo quy định tại Điều 3 Nghị định số 148/2006/NĐ-CP, cụ thể như sau:

a) Các kho đạn dược nêu tại điểm a, b, c, d, đ Mục 1 phần I Thông tư này đóng quân trên địa bàn của các địa phương trong cả nước và mọi tổ chức, cá nhân có liên quan phải có trách nhiệm xây dựng, quản lý, bảo vệ vành đai an toàn kho.

b) Mọi tổ chức, cá nhân khi quy hoạch, xây dựng công trình, khai thác, sử dụng vùng đất, khoảng không thuộc Vành đai an toàn kho trong phạm vi cho phép quy định tại khoản 2, khoản 3 Điều 7 Nghị định số 148/2006/NĐ-CP phải có ý kiến của thủ trưởng đơn vị cấp trên trực tiếp quản lý kho đạn dược và chấp hành các quy định về xây dựng, quản lý, bảo vệ vành đai an toàn kho. Ngoài phạm vi cho phép quy định tại khoản 2, khoản 3 Điều 7 Nghị định số 148/2006/NĐ-CP phải có ý kiến của Thủ tướng Chính phủ.
",1,"(Điều 1 Thông tư số 25/2008/TT-BQP Hướng dẫn thực hiện một số điều của Nghị định số 148/2006/NĐ-CP ngày 04/12/2006 của Chính phủ về quy hoạch, xây dựng, quản lý và bảo vệ vành đai an toàn các kho đạn dược, vật liệu nổ, nhà máy sản xuất đạn dược, vật liệu nổ do Bộ Quốc phòng quản lý ngày 06/03/2008 của Bộ Quốc phòng, có hiệu lực thi hành kể từ ngày 31/03/2008)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=126379#Dieu_1,6
2500100000000000100000300000000000000000,Điều 25.1.PL.3.,b444d15f-0b38-474b-bf13-5188e9a517bb,25001000000000001000,859b54fa-0c05-4807-a50c-c8be82fcae62,"Các cơ quan Nhà nước, đơn vị vũ trang nhân dân, tổ chức kinh tế, tổ chức xã hội và mọi công dân đều có trách nhiệm bảo vệ và chấp hành các quy định của pháp luật về bảo vệ công trình quốc phòng và khu quân sự.
",3,"((Điều 3 Pháp lệnh số Bảo vệ công trình quốc phòng và khu quân sự, có hiệu lực thi hành kể từ ngày 03/06/1994))",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=10430#Chuong_I_Dieu_3,7
250010000000000010000030000000000000000000402237301480000300,"Điều 25.1.NĐ.2.3. Nguyên tắc quy hoạch, xây dựng, quản lý, bảo vệ Vành đai an toàn kho",b444d15f-0b38-474b-bf13-5188e9a517bb,25001000000000001000,859b54fa-0c05-4807-a50c-c8be82fcae62,"Xây dựng, quản lý, bảo vệ Vành đai an toàn kho là trách nhiệm của mọi tổ chức, cá nhân. Mọi tổ chức, cá nhân khi quy hoạch, xây dựng công trình liên quan đến phạm vi Vành đai an toàn kho quy định tại khoản 2, khoản 3 Điều 7 Nghị định này phải có ý kiến của Bộ Quốc phòng và chấp hành các quy định về xây dựng, quản lý, bảo vệ Vành đai an toàn kho.
",3,"(Điều 3 Nghị định số 148/2006/NĐ-CP, có hiệu lực thi hành kể từ ngày 31/12/2006)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14947#Chuong_I_Dieu_3,8
25001000000000001000003000000000000000000040223730148000030000802279300080000200,Điều 25.1.TL.1.2. Xác định vành đai an toàn và cột mốc đánh dấu giới hạn vành đai an toàn kho đạn dược,b444d15f-0b38-474b-bf13-5188e9a517bb,25001000000000001000,859b54fa-0c05-4807-a50c-c8be82fcae62,"1. Xác định Vành đai an toàn kho đạn dược

Vành đai an toàn kho đan dược bao gồm các yếu tố: Đường cơ bản, giới hạn trong của Vành đai an toàn, giới hạn ngoài của Vành đai an toàn, Vùng cấm, Vùng sử dụng đất có điều kiện.

1.1. Đường cơ bản:

Đường cơ bản quy định trong Thông tư này là đường bao khép kín nối các điểm hoặc cạnh ngoài của nền các nhà kho đạn dược ngoài cùng của khu vực kho đạn dược (đã có và trong quy hoạch xây dựng mới đã được cấp có thẩm quyền phê duyệt). Đường cơ bản dùng làm mốc để xác định giới hạn trong của Vành đai an toàn kho đạn dược.

1.2. Giới hạn trong của Vành đài an toàn kho đạn dược:

a) Nếu hàng rào (tường rào) khép kín khu vực kho đạn dược cách đường cơ bản từ năm lăm (55) mét trở xuống thì giới hạn trong của Vành đai an toàn kho đạn dược là hàng rào (tường rào) khép kín khu vực kho đạn dược;

b) Nếu hàng rào (tường rào) khép kín khu vực kho đạn dược cách đường cơ bản lớn hơn năm lăm (55) mét thì giới hạn trong của Vành đai an toàn kho đạn dược nằm bên trong lớp hàng rào (tường rào) khép kín khu vực kho đạn dược và cách đường cơ bản là năm lăm (55) mét.

Trường hợp có nhiều lớp hàng rào (tường rào) khép kín khu vực kho đạn dược thì lấy lớp hàng rào (tường rào) phía trong gần nhà kho nhất để xác định giới hạn trong của Vành đai an toàn kho đạn dược theo quy định tại tiết a, tiết b, điểm này;

c) Đối với kho đạn dược cấp quận, huyện, thị xã, thành phố trực thuộc tỉnh và tương đương thì giới hạn trong của Vành đai an toàn kho đạn dược trùng với đường cơ bản.

1.3. Giới hạn ngoài của Vành đai an toàn kho đạn dược:

Giới hạn ngoài của Vành đai an toàn kho đạn dược cách giới hạn trong của Vành đai an toàn kho đạn dược trở ra một khoảng bằng bán kính Vành đai an toàn kho đạn dược.

Trường hợp điểm ngoài cùng bán kính Vành đai an toàn kho đạn dược nằm bên trong lớp hàng rào (tường rào) phía ngoài khép kín khu vực kho đạn dược thì khi đó giới hạn ngoài của Vành đai an toàn kho đạn dược là lớp hàng rào (tường rào) phía ngoài đã có của kho đạn dược.

1.4. Vùng cấm, Vùng sử dụng đất có điều kiện thuộc Vành đai an toàn kho đạn dược:

a) Vùng cấm: là phạm vi tính từ giới hạn trong của Vành đai an toàn kho đạn dược trở ra đến giới hạn ngoài của Vùng cấm; trong đó:

Giới hạn ngoài của Vùng cấm cách giới hạn trong của Vành đai an toàn kho đạn dược một khoảng là năm mươi (50) mét đối với kho đạn dược từ cấp sư đoàn, lữ đoàn, cấp tỉnh và tương đương trở lên, nhà máy sản xuất đạn dược, vật liệu nổ; hai lăm (25) mét đối với kho đạn dược cấp trung đoàn và tương đương; năm (05) mét đối với kho đạn dược cấp huyện và tương đương.

Trường hợp lớp hàng rào (tường rào) phía ngoài khép kín khu vực kho đạn dược cách giới hạn trong của Vành đai an toàn kho đạn dược một khoảng bằng hoặc lớn hơn quy định nêu trên thì khi đó giới hạn ngoài của Vùng cấp là hàng rào (tường rào) phía ngoài đã có của kho đạn dược;

b) Vùng sử dụng đất có điều kiện: là phạm vi tính từ giới hạn ngoài của Vùng cấm trở ra đến giới hạn ngoài của Vành đai an toàn kho đạn dược.

(Phụ lục sơ đồ Vành đai an toàn kho đạn dược kèm theo Thông tư này)

2. Cột mốc đánh dấu giới hạn Vành đai an toàn kho đạn dược

2.1. Cột mốc đánh dấu giới hạn Vành đai an toàn kho đạn dược gồm:

a) Cột mốc đánh dấu giới hạn ngoài của Vùng cấm;

b) Cột mốc đánh dấu giới hạn ngoài của Vành đai an toàn kho đạn dược.

Trường hợp giới hạn ngoài của Vùng cấm trùng với giới hạn ngoài của Vành đai an toàn kho đạn dược thì sử dụng cột mốc đánh dấu giới hạn ngoài của Vùng cấm để báo hiệu.

2.2. Quy cách cột mốc, nội dung chữ báo hiệu khắc trên cột mốc, khoảng cách giữa hai cột mốc liền kề:

a) Quy cách cột mốc:

Cột mốc làm bằng bê tông cốt thép, dài 100cm, mặt cắt ngang (20 x 20)cm, được chôn xuống đất sâu 60cm và đổ bê tông chèn chặt xung quanh.

Phần nổi trên mặt đất cột mốc đánh dấu giới hạn ngoài Vùng cấm được sơn màu đỏ, phần nổi trên mặt đất cột mốc đánh dấu giới hạn ngoài của Vành đai an toàn kho đạn dược được sơn màu vàng.

Trên giữa đỉnh cột mốc được khắc mũi tên có phương vuông góc với mặt khắc chữ báo hiệu, chiều mũi tên hướng về phía mặt đối diện với mặt khắc chữ báo hiệu.

b) Nội dung chữ báo hiệu khắc trên cột mốc:

Phần nổi trên mặt đất của cột mốc đánh dấu giới hạn ngoài của Vùng cấm khắc chữ báo hiệu “VÙNG CẤM” trên một mặt của cột mốc, chữ báo hiệu sơn màu trắng, cỡ chữ (cao 30mm, rộng 20mm, nét chữ rộng 05mm), kiểu chữ VNARIALH.

Phần nổi trên mặt đất của cột mốc đánh dấu giới hạn ngoài của Vành đai an toàn kho đạn dược khắc chữ báo hiệu “VÀNH ĐAI AT"" trên một mặt của cột mốc, màu sắc, cỡ, kiểu chữ báo hệu giống như chữ báo hiệu khắc trên cột mốc đánh dấu giới hạn ngoài của Vùng cấm.



Khi chôn cột mốc phải hướng chữ báo hiệu ra phía ngoài khu vực kho đạn dược.

c) Khoảng cách giữa hai cột mốc liền kề:

Khoảng cách giữa hai cột mốc liền kề là năm mươi (50) mét đối với giới hạn ngoài của Vùng cấm, một trăm (100) mét đối với giới hạn ngoài của Vành đai an toàn kho đạn dược.
",2,"(Điều 2 Thông tư liên tịch số 08/2008/TTLT-BQP-BTNMT, có hiệu lực thi hành kể từ ngày 17/05/2008)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=126377#Dieu_2,9
