mapc,ten,demuc_id,chuong_id,chude_id,noidung,chimuc,vbqppl,vbqppl_link,stt
0100100000000000100000100000000000000000,Điều 1.1.LQ.1. Phạm vi điều chỉnh,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Luật này quy định về chính sách an ninh quốc gia; nguyên tắc, nhiệm vụ, biện pháp bảo vệ an ninh quốc gia; quyền, nghĩa vụ, trách nhiệm của cơ quan, tổ chức, công dân trong bảo vệ an ninh quốc gia.
",1,"(Điều 1 Luật số 32/2004/QH11 An ninh Quốc gia ngày 03/12/2004 của Quốc hội, có hiệu lực thi hành kể từ ngày 01/07/2005 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=18562#Chuong_I_Dieu_1,0
0100100000000000100000200000000000000000,Điều 1.1.LQ.2. Đối tượng áp dụng,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Luật này áp dụng đối với cơ quan, tổ chức, công dân nước Cộng hoà xã hội chủ nghĩa Việt Nam; cá nhân, tổ chức nước ngoài, tổ chức quốc tế cư trú, hoạt động trên lãnh thổ nước Cộng hoà xã hội chủ nghĩa Việt Nam; trong trường hợp điều ước quốc tế mà Cộng hoà xã hội chủ nghĩa Việt Nam ký kết hoặc gia nhập quy định khác thì áp dụng theo điều ước quốc tế đó.
",2,"(Điều 2 Luật số 32/2004/QH11, có hiệu lực thi hành kể từ ngày 01/07/2005)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=18562#Chuong_I_Dieu_2,1
0100100000000000100000240220600016000010,Điều 1.1.NĐ.1.1. Phạm vi điều chỉnh,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Nghị định này quy định việc khôi phục danh dự đối với cơ quan, tổ chức, cá nhân bị tổn hại về danh dự; đền bù thiệt hại đối với cơ quan, tổ chức, cá nhân bị thiệt hại về tài sản; chế độ trợ cấp đối với cá nhân bị thương tích, bị tổn hại về sức khoẻ, bị thiệt hại về tính mạng do tham gia bảo vệ an ninh quốc gia.

Cá nhân, cơ quan, tổ chức nước ngoài, tổ chức quốc tế bị tổn hại về danh dự, thiệt hại tài sản; người nước ngoài bị thương tích, bị tổn hại về sức khỏe, bị thiệt hại về tính mạng do tham gia bảo vệ an ninh quốc gia trên lãnh thổ Việt Nam được nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam thực hiện khôi phục danh dự, đền bù thiệt hại và thực hiện chế độ trợ cấp theo quy định của Nghị định này.

Trường hợp Điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định khác thì áp dụng theo Điều ước quốc tế đó.
",1,"(Điều 1 Nghị định số 16/2006/NĐ-CP Quy định về việc khôi phục danh dự, đền bù, trợ cấp cho cơ quan, tổ chức, cá nhân bị thiệt hại do tham gia bảo vệ an ninh quốc gia ngày 25/01/2006 của Chính phủ, có hiệu lực thi hành kể từ ngày 22/02/2006 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=16787#Chuong_I_Dieu_1,2
0100100000000000100000240221420038000010,"Điều 1.1.NĐ.2.1. Phạm vi điều chỉnh, đối tượng áp dụng",55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Nghị định này quy định về chức năng, nhiệm vụ, quyền hạn, nguyên tắc tổ chức, hoạt động và chế độ, chính sách đối với Bảo vệ dân phố.
",1,"(Điều 1 Nghị định số 38/2006/NĐ-CP Về Bảo vệ dân phố ngày 17/04/2006 của Chính phủ, có hiệu lực thi hành kể từ ngày 15/05/2006 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=16319#Chuong_I_Dieu_1,3
0100100000000000100000240223350127000010,Điều 1.1.NĐ.3.1. Phạm vi điều chỉnh,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Nghị định này quy định chi tiết thi hành một số điều của Luật An ninh quốc gia và Luật Công an nhân dân về việc bảo đảm điều kiện về ngân sách, cơ sở vật chất, huy động thành tựu khoa học và công nghệ, dự trữ quốc gia để phục vụ hoạt động bảo vệ an ninh quốc gia và giữ gìn trật tự, an toàn xã hội (sau đây gọi chung là an ninh, trật tự).
",1,"(Điều 1 Nghị định số 127/2006/NĐ-CP Quy định về bảo đảm điều kiện cho hoạt động bảo vệ an ninh quốc gia và giữ gìn trật tự, an toàn xã hội ngày 27/10/2006 của Chính phủ, có hiệu lực thi hành kể từ ngày 27/11/2006 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=15036#Chuong_I_Dieu_1,4
0100100000000000100000240223350127000020,Điều 1.1.NĐ.3.2. Đối tượng áp dụng,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Nghị định này áp dụng với cá nhân, tổ chức Việt Nam; cá nhân, tổ chức nước ngoài, tổ chức quốc tế đang hoạt động trên lãnh thổ Việt Nam. Trường hợp điều ước quốc tế mà nước Cộng hoà xã hội chủ nghĩa Việt Nam là thành viên có quy định khác thì áp dụng theo điều ước quốc tế đó.
",2,"(Điều 2 Nghị định số 127/2006/NĐ-CP, có hiệu lực thi hành kể từ ngày 27/11/2006)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=15036#Chuong_I_Dieu_2,5
0100100000000000100000240239990035000010,Điều 1.1.NĐ.4.1. Phạm vi điều chỉnh,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Nghị định này quy định nội dung, nguyên tắc, thẩm quyền, trách nhiệm và bảo đảm điều kiện cho việc áp dụng biện pháp pháp luật bảo vệ an ninh quốc gia, giữ gìn trật tự, an toàn xã hội (trong Nghị định này viết tắt là biện pháp pháp luật bảo vệ an ninh, trật tự).
",1,"(Điều 1 Nghị định số 35/2011/NĐ-CP Về biện pháp pháp luật bảo vệ an ninh quốc gia, giữ gìn trật tự, an toàn xã hội ngày 18/05/2011 của Chính phủ, có hiệu lực thi hành kể từ ngày 10/07/2011 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=26429#Chuong_I_Dieu_1,6
0100100000000000100000240239990035000020,Điều 1.1.NĐ.4.2. Đối tượng áp dụng,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Nghị định này áp dụng đối với cơ quan, cán bộ chuyên trách bảo vệ an ninh, trật tự; cơ quan, tổ chức, công dân Việt Nam; cơ quan, tổ chức, cá nhân nước ngoài, tổ chức quốc tế cư trú, hoạt động trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam. Trường hợp điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định khác thì áp dụng điều ước quốc tế đó.
",2,"(Điều 2 Nghị định số 35/2011/NĐ-CP, có hiệu lực thi hành kể từ ngày 10/07/2011)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=26429#Chuong_I_Dieu_2,7
0100100000000000100000240246010006000010,Điều 1.1.NĐ.5.1. Phạm vi điều chỉnh,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Nghị định này quy định về chức năng, nhiệm vụ, quyền hạn, tổ chức, hoạt động, chế độ, chính sách đối với lực lượng bảo vệ tại các cơ quan nhà nước, doanh nghiệp, tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức chính trị - xã hội - nghề nghiệp, tổ chức xã hội - nghề nghiệp, tổ chức xã hội được thành lập theo quy định của pháp luật Việt Nam (sau đây gọi chung là cơ quan, doanh nghiệp).
",1,"(Điều 1 Nghị định số 06/2013/NĐ-CP Quy định về bảo vệ cơ quan, doanh nghiệp ngày 09/01/2013 của Chính phủ, có hiệu lực thi hành kể từ ngày 01/03/2013 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=32523#Chuong_I_Dieu_1,8
0100100000000000100000240246010006000020,Điều 1.1.NĐ.5.2. Đối tượng áp dụng,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Nghị định này áp dụng đối với cơ quan, doanh nghiệp Việt Nam; doanh nghiệp, tổ chức nước ngoài hoạt động trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam và cơ quan, tổ chức, cá nhân có liên quan đến hoạt động bảo vệ cơ quan, doanh nghiệp. Các cơ quan, doanh nghiệp do Công an nhân dân và Quân đội nhân dân quản lý không thuộc đối tượng áp dụng của Nghị định này.

Trường hợp Điều ước quốc tế mà Việt Nam là thành viên có quy định khác thì áp dụng theo quy định của Điều ước quốc tế đó.
",2,"(Điều 2 Nghị định số 06/2013/NĐ-CP, có hiệu lực thi hành kể từ ngày 01/03/2013)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=32523#Chuong_I_Dieu_2,9
0100100000000000100000240249780006000010,Điều 1.1.NĐ.6.1. Phạm vi điều chỉnh,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Nghị định này quy định nguyên tắc, nội dung, hình thức, trình tự, thủ tục, thẩm quyền, trách nhiệm và bảo đảm điều kiện áp dụng biện pháp vận động quần chúng bảo vệ an ninh quốc gia, giữ gìn trật tự, an toàn xã hội (sau đây gọi chung là bảo vệ an ninh, trật tự); chế độ, chính sách đối với cơ quan, tổ chức, cá nhân tham gia công tác bảo vệ an ninh, trật tự.
",1,"(Điều 1 Nghị định số 06/2014/NĐ-CP Về biện pháp vận động quần chúng bảo vệ an ninh quốc gia, giữ gìn trật tự, an toàn xã hội ngày 21/01/2014 của Chính phủ, có hiệu lực thi hành kể từ ngày 08/03/2014 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=33421#Chuong_I_Dieu_1,10
0100100000000000100000240249780006000020,Điều 1.1.NĐ.6.2. Đối tượng áp dụng,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Nghị định này áp dụng đối với cơ quan, cán bộ chuyên trách bảo vệ an ninh, trật tự; cơ quan, tổ chức Việt Nam, cơ quan, tổ chức nước ngoài, tổ chức quốc tế hoạt động trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam (sau đây gọi chung là cơ quan, tổ chức); công dân Việt Nam, cá nhân nước ngoài cư trú, hoạt động trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam (sau đây gọi chung là cá nhân). Trường hợp điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định khác thì áp dụng quy định của điều ước quốc tế đó.
",2,"(Điều 2 Nghị định số 06/2014/NĐ-CP, có hiệu lực thi hành kể từ ngày 08/03/2014)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=33421#Chuong_I_Dieu_2,11
0100100000000000100000280224600002000010,Điều 1.1.TL.1.1. Phạm vi điều chỉnh và đối tượng áp dụng,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Thông tư này hướng dẫn về nhiệm vụ, quyền hạn, tổ chức hoạt động và chế độ chính sách đối với Bảo vệ dân phố.

Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài cư trú, hoạt động trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam phải tuân thủ các quy định của Nghị định số 38/2006/NĐ-CP và hướng dẫn của Thông tư này, trừ trường hợp Điều ước quốc tế mà Việt Nam là thành viên có quy định khác thì áp dụng Điều ước quốc tế đó.
",1,"(Điều 1 Thông tư liên tịch số 02/2007/TTLT-BCA-BLĐTBXH-BTC Thông tư hướng dẫn thực hiện Nghị định số 38/2006/NĐ-CP ngày 17 tháng 4 năm 2006 của Chính phủ về bảo vệ dân phố ngày 01/03/2007 của Bộ Lao động - Thương Binh và Xã hội, Bộ Tài chính và Bộ Công an, có hiệu lực thi hành kể từ ngày 25/04/2007 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14002#Dieu_1,12
0100100000000000100000280252460046000010,Điều 1.1.TT.1.1. Phạm vi điều chỉnh,55323c64-e78f-4537-afcd-6a3c2af3c71d,01001000000000001000,c3b69131-2931-4f67-926e-b244e18e8081,"Thông tư này quy định chi tiết thi hành một số điều của Nghị định số 06/2013/NĐ-CP gồm: Nội dung các biện pháp nghiệp vụ bảo vệ; tổ chức, đơn vị sử dụng ngân sách nhà nước được thuê dịch vụ bảo vệ thường xuyên, lâu dài; công tác phối hợp giữa cơ quan Công an với các cơ quan, doanh nghiệp trong quản lý và kiểm tra việc thực hiện nhiệm vụ bảo vệ; huấn luyện nghiệp vụ bảo vệ; giấy chứng nhận nhân viên bảo vệ; trang bị, quản lý, sử dụng vũ khí thô sơ, công cụ hỗ trợ và các loại phương tiện đối với lực lượng bảo vệ cơ quan, doanh nghiệp.
",1,"(Điều 1 Thông tư số 46/2014/TT-BCA Quy định chi tiết một số điều của Nghị định số 06/2013/NĐ-CP ngày 09 tháng 01 năm 2013 quy định về bảo vệ cơ quan, doanh nghiệp ngày 16/10/2014 của Bộ Công an, có hiệu lực thi hành kể từ ngày 06/12/2014 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=122418#Dieu_1,13
