mapc,ten,demuc_id,chuong_id,chude_id,noidung,chimuc,vbqppl,vbqppl_link,stt
0800100000000000100000100000000000000000,Điều 8.1.LQ.1. Trẻ em,23e1929c-6151-4f15-9d67-11d4f7964dc8,08001000000000001000,efbefb52-bf45-41df-aaf4-6a4e833f333e,"Trẻ em là người dưới 16 tuổi.
",1,"(Điều 1 Luật số 102/2016/QH13 Trẻ em ngày 05/04/2016 của Quốc hội, có hiệu lực thi hành kể từ ngày 01/06/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=101871#Chuong_I_Dieu_1,0
0800100000000000100000200000000000000000,Điều 8.1.LQ.2. Phạm vi điều chỉnh,23e1929c-6151-4f15-9d67-11d4f7964dc8,08001000000000001000,efbefb52-bf45-41df-aaf4-6a4e833f333e,"Luật này quy định về quyền, bổn phận của trẻ em; nguyên tắc, biện pháp bảo đảm thực hiện quyền trẻ em; trách nhiệm của cơ quan, tổ chức, cơ sở giáo dục, gia đình, cá nhân trong việc thực hiện quyền và bổn phận của trẻ em.
",2,"(Điều 2 Luật số 102/2016/QH13, có hiệu lực thi hành kể từ ngày 01/06/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=101871#Chuong_I_Dieu_2,1
0800100000000000100000300000000000000000,Điều 8.1.LQ.3. Đối tượng áp dụng,23e1929c-6151-4f15-9d67-11d4f7964dc8,08001000000000001000,efbefb52-bf45-41df-aaf4-6a4e833f333e,"Cơ quan nhà nước, tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức chính trị xã hội - nghề nghiệp, tổ chức xã hội, tổ chức xã hội - nghề nghiệp, tổ chức kinh tế, đơn vị sự nghiệp, đơn vị vũ trang nhân dân, cơ sở giáo dục, gia đình, công dân Việt Nam; cơ quan, tổ chức quốc tế, tổ chức nước ngoài hoạt động trên lãnh thổ Việt Nam, cá nhân là người nước ngoài cư trú tại Việt Nam (sau đây gọi chung là cơ quan, tổ chức, cơ sở giáo dục, gia đình, cá nhân).
",3,"(Điều 3 Luật số 102/2016/QH13, có hiệu lực thi hành kể từ ngày 01/06/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=101871#Chuong_I_Dieu_3,2
0800100000000000100000340261820056000010,Điều 8.1.NĐ.1.1. Phạm vi điều chỉnh,23e1929c-6151-4f15-9d67-11d4f7964dc8,08001000000000001000,efbefb52-bf45-41df-aaf4-6a4e833f333e,"Nghị định này quy định chi tiết một số điều của Luật trẻ em về các nhóm trẻ em có hoàn cảnh đặc biệt và chính sách hỗ trợ; hỗ trợ, can thiệp đối với trường hợp trẻ em bị xâm hại hoặc có nguy cơ bị bạo lực, bóc lột, bỏ rơi và trẻ em có hoàn cảnh đặc biệt; trách nhiệm bảo vệ trẻ em trên môi trường mạng; chăm sóc thay thế cho trẻ em; trách nhiệm của cơ quan, tổ chức, cơ sở giáo dục, gia đình, cá nhân trong việc bảo đảm để trẻ em được tham gia vào các vấn đề về trẻ em.
",1,"(Điều 1 Nghị định số 56/2017/NĐ-CP Quy định chi tiết một số điều của Luật Trẻ em ngày 09/05/2017 của Chính phủ, có hiệu lực thi hành kể từ ngày 01/07/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=121977#Chuong_I_Dieu_1,3
0800100000000000100000340261820056000020,Điều 8.1.NĐ.1.2. Đối tượng áp dụng,23e1929c-6151-4f15-9d67-11d4f7964dc8,08001000000000001000,efbefb52-bf45-41df-aaf4-6a4e833f333e,"Các cơ quan, tổ chức, cơ sở giáo dục, gia đình, cá nhân quy định tại Điều 3 Luật trẻ em.
",2,"(Điều 2 Nghị định số 56/2017/NĐ-CP, có hiệu lực thi hành kể từ ngày 01/07/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=121977#Chuong_I_Dieu_2,4
0800100000000000100000380261880023000010,Điều 8.1.TT.1.1. Phạm vi điều chỉnh và đối tượng áp dụng,23e1929c-6151-4f15-9d67-11d4f7964dc8,08001000000000001000,efbefb52-bf45-41df-aaf4-6a4e833f333e,"1. Thông tư này hướng dẫn việc lập hồ sơ theo dõi sức khỏe, khám sức khỏe định kỳ theo độ tuổi cho trẻ em; tư vấn chăm sóc sức khỏe và dinh dưỡng cho phụ nữ mang thai và trẻ em.

2. Thông tư này áp dụng đối với:

a) Trẻ em từ khi sinh đến dưới 16 tuổi;

b) Các cơ sở y tế công lập và ngoài công lập có cung cấp dịch vụ khám bệnh, chữa bệnh; tư vấn chăm sóc sức khỏe và tư vấn dinh dưỡng cho phụ nữ mang thai và trẻ em;

c) Các cơ sở khác có chức năng cung cấp dịch vụ tư vấn chăm sóc sức khỏe và dinh dưỡng cho phụ nữ mang thai và trẻ em;

d) Các tổ chức, cá nhân có liên quan đến việc lập hồ sơ theo dõi sức khỏe, khám sức khỏe định kỳ theo độ tuổi cho trẻ em.
",1,"(Điều 1 Thông tư số 23/2017/TT-BYT hướng dẫn việc lập hồ sơ theo dõi sức khỏe, khám sức khỏe định kỳ theo độ tuổi cho trẻ em; tư vấn chăm sóc sức khỏe và dinh dưỡng cho phụ nữ mang thai và trẻ em ngày 15/05/2017 của Bộ Y tế, có hiệu lực thi hành kể từ ngày 15/09/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=156602#Dieu_1,5
0800100000000000100000380262270009000010,Điều 8.1.TT.2.1. Phạm vi điều chỉnh,23e1929c-6151-4f15-9d67-11d4f7964dc8,08001000000000001000,efbefb52-bf45-41df-aaf4-6a4e833f333e,"Thông tư này quy định chi tiết khoản 2 Điều 46 Luật trẻ em về tỷ lệ nội dung, thời điểm, thời lượng dành cho trẻ em; yêu cầu bắt buộc khi đăng, phát tin, bài, chương trình liên quan đến trẻ em và cảnh báo nội dung không phù hợp với trẻ em trên báo nói, báo hình, báo in, báo điện tử và xuất bản phẩm.
",1,"(Điều 1 Thông tư số 09/2017/TT-BTTTT Quy định về tỷ lệ nội dung, thời điểm, thời lượng dành cho trẻ em và cảnh báo nội dung không phù hợp với trẻ em trên báo nói, báo hình, báo in, báo điện tử và xuất bản phẩm ngày 23/06/2017 của Bộ Thông tin và Truyền thông, có hiệu lực thi hành kể từ ngày 23/06/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=140719#Chuong_I_Dieu_1,6
0800100000000000100000380262270009000020,Điều 8.1.TT.2.2. Đối tượng áp dụng,23e1929c-6151-4f15-9d67-11d4f7964dc8,08001000000000001000,efbefb52-bf45-41df-aaf4-6a4e833f333e,"Thông tư này áp dụng đối với các cơ quan báo chí; nhà xuất bản, cơ sở nhập khẩu xuất bản phẩm; cơ quan chủ quản báo chí, cơ quan chủ quản nhà xuất bản; Sở Thông tin và Truyền thông các tỉnh, thành phố trực thuộc Trung ương; các cơ quan, tổ chức và cá nhân có liên quan.
",2,"(Điều 2 Thông tư số 09/2017/TT-BTTTT, có hiệu lực thi hành kể từ ngày 23/06/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=140719#Chuong_I_Dieu_2,7
0800100000000000100000380262660033000010,Điều 8.1.TT.3.1. Phạm vi điều chỉnh và đối tượng áp dụng.,23e1929c-6151-4f15-9d67-11d4f7964dc8,08001000000000001000,efbefb52-bf45-41df-aaf4-6a4e833f333e,"1. Thông tư này quy định về nguyên tắc, yêu cầu tư vấn, hỗ trợ trẻ em chăm sóc sức khỏe sinh sản phù hợp với độ tuổi.

2. Thông tư này áp dụng đối với:

a) Trẻ em từ 0 đến dưới 16 tuổi; cha mẹ hoặc người giám hộ của trẻ em;

b) Cơ sở tư vấn, hỗ trợ trẻ em chăm sóc sức khỏe sinh sản (sau đây gọi chung là cơ sở tư vấn, hỗ trợ) bao gồm: cơ sở khám bệnh, chữa bệnh về nhi khoa, sản phụ khoa; trung tâm chăm sóc sức khỏe sinh sản; trung tâm phòng chống HIV/AIDS; trung tâm y tế quận/huyện; cơ sở tư vấn, xét nghiệm và điều trị HIV; cơ sở tiêm chủng; trạm y tế xã, phường, thị trấn; y tế trường học và các cơ sở khác có cung cấp dịch vụ tư vấn chăm sóc sức khỏe sinh sản cho trẻ em theo quy định của pháp luật;

c) Các cơ quan, tổ chức, cá nhân có liên quan đến tư vấn, hỗ trợ chăm sóc sức khỏe sinh sản cho trẻ em theo quy định của pháp luật.
",1,"(Điều 1 Thông tư số 33/2017/TT-BYT quy định về tư vấn, hỗ trợ trẻ em chăm sóc sức khỏe sinh sản phù hợp với độ tuổi ngày 01/08/2017 của Bộ Y tế, có hiệu lực thi hành kể từ ngày 01/10/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=156603#Dieu_1,8
0800100000000000100000380262830034000010,Điều 8.1.TT.4.1. Phạm vi điều chỉnh,23e1929c-6151-4f15-9d67-11d4f7964dc8,08001000000000001000,efbefb52-bf45-41df-aaf4-6a4e833f333e,"Thông tư này quy định về tư vấn, sàng lọc, chẩn đoán, điều trị trước sinh và sơ sinh.
",1,"(Điều 1 Thông tư số 34/2017/TT-BYT Hướng dẫn tư vấn, sàng lọc, chẩn đoán, điều trị trước sinh và sơ sinh. ngày 18/08/2017 của Bộ Y tế, có hiệu lực thi hành kể từ ngày 02/10/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=132220#Chuong_I_Dieu_1,9
